order_id,customer_id,order_date,amount,batch_date,is_active
101,1,2025-08-20,250,2025-12-15,Y
102,2,2025-08-21,450,2025-12-15,Y
103,3,2025-08-22,300,2025-12-15,N
104,4,2025-08-23,500,2025-12-15,Y
105,5,2025-08-24,600,2025-12-15,N
101,1,2025-08-20,250,2025-12-16,Y
102,2,2025-08-21,450,2025-12-16,Y
103,3,2025-08-22,310,2025-12-16,Y
104,4,2025-08-23,500,2025-12-16,Y
105,5,2025-08-24,600,2025-12-16,Y
101,1,2025-08-20,250,2025-12-17,Y
102,2,2025-08-21,450,2025-12-17,Y
103,3,2025-08-22,300,2025-12-17,Y
104,4,2025-08-23,500,2025-12-17,Y
105,5,2025-08-24,620,2025-12-17,Y
